"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"p_0001";"v_283";"v_1";"v_321";"v_322";"v_323";"v_324";"v_325";"v_326";"v_327";"v_328";"v_329";"v_330";"v_169";"v_285";"v_282";"v_10";"v_11";"v_286";"v_19";"v_20";"v_21";"v_22";"v_23";"v_24";"v_25";"v_26";"v_27";"v_28";"v_29";"v_30";"v_31";"v_32";"v_33";"v_34";"v_35";"v_292";"v_293";"v_49";"v_50";"v_54";"v_331";"v_297";"v_298";"v_316";"v_317";"v_318";"v_319";"v_55";"v_56";"v_287";"v_296";"v_306";"v_307";"v_313";"v_314";"v_104";"v_105";"v_106";"v_107";"v_108";"v_109";"v_205";"v_206";"v_207";"v_208";"v_209";"v_210";"v_228";"v_229";"v_230";"v_231";"v_232";"v_126";"v_85";"v_86";"v_87";"v_88";"v_234";"v_233";"v_100";"v_99";"v_101";"v_120";"v_121";"v_122";"v_284";"v_239";"v_240";"v_238";"v_132";"v_133";"v_134";"v_135";"v_136";"v_137";"v_247";"v_248";"v_249";"v_250";"v_251";"v_252";"v_144";"v_145";"v_146";"v_147";"v_148";"v_149";"v_150";"v_151";"v_152";"v_153";"v_154";"v_265";"v_157";"v_266";"v_164";"v_267";"v_165";"v_268";"v_166";"v_269";"v_167";"v_270";"v_168";"v_288";"v_333";"v_334";"v_272";"v_273";"v_186";"v_187";"v_188";"v_190";"v_191";"v_271";"v_193";"v_195";"v_196";"ext_host";"ip_addr";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"quota_rejected_id";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6028401";"rts6028402";"rts6028403";"rts6028404";"rts6028405";"rts6028407";"rts6028408";"rts6028410";"rts6028411";"rts6028412";"rts6028413";"rts6028414";"rts6028415";"rts6028416";"rts6028417";"rts6028419";"rts6028420";"rts6028421";"rts6028422";"rts6028423";"rts6028424";"rts6028425";"rts6028426";"rts6028427";"rts6028428";"rts6028429";"rts6028430";"rts6028431";"rts6028432";"rts6028434"
"1613";"0";"0";"32";"6028435";"-77";"-1";"7E791636-5E4A-4D85-B3BE-48AD039072AE";"3";"Datenbank";"1";"1";"2";"1";"2";"2";"1";"2";"1";"2";"2";"29";"2";"1";"1";"2";"1";"3";"1";"2";"1";"1";"3";"3";"3";"3";"1";"1";"1";"1";"0";"0";"0";"0";"0";"2";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"2";"2";"2";"0";"0";"1";"2";"4";"4";"4";"3";"4";"3";"5";"4";"2";"3";"3";"2";"3";"4";"7";"7";"6";"2";"2";"2";"2";"2";"2";"1";"5";"3";"4";"0";"0";"0";"1";"1";"0";"2";"4";"4";"4";"4";"4";"6";"4";"4";"4";"4";"4";"3";"6";"4";"4";"4";"4";"4";"5";"4";"4";"4";"3";"5";"-99";"6";"-99";"5";"-99";"5";"-99";"1";"-99";"7";"-99";"4";"5";"1";"1";"2";"3";"-99";"4";"-99";"2";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Linux; Android 9; W-P611-EEA) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"1";"1,5,7";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"1";"0";"-77";"-77";"63f74891381d735f8b87f33188f400fd";"3";"0";"1634226978";"2021-10-14 15:56:18";"2021-10-14 17:10:09";"0000-00-00 00:00:00";"3";"375";"475";"506";"2985";"0";"3005";"3012";"3931";"3956";"3996";"4014";"4074";"4137";"4148";"4178";"4200";"4226";"4246";"4277";"4281";"4307";"4314";"4320";"4327";"4338";"4347";"4370";"4425";"4431"
"1614";"0";"0";"31";"6028435";"-77";"983";"FFEFC4AF-5B88-479A-81C7-40550D12EFDE";"3";"nichts";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"48";"2";"1";"1";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"1";"2";"6";"-77";"-77";"-77";"1";"6";"4";"5";"5";"5";"6";"4";"4";"2";"3";"0";"2";"2";"1";"1";"2";"2";"2";"2";"2";"2";"2";"2";"2";"2";"5";"1";"0";"0";"0";"1";"1";"0";"2";"5";"4";"6";"6";"5";"6";"5";"5";"4";"6";"7";"6";"4";"5";"5";"5";"2";"2";"4";"6";"6";"5";"2";"6";"-99";"4";"-99";"4";"-99";"7";"-99";"4";"-99";"6";"-99";"9";"1";"2";"1";"1";"7";"-99";"1";"-99";"1";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"1";"1,4,7";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"0";"0";"-77";"-77";"98289b44ed0a62a7b10bc62d41cb3cb3";"3";"0";"1634227104";"2021-10-14 15:58:24";"2021-10-14 16:14:47";"0000-00-00 00:00:00";"6";"17";"87";"113";"133";"0";"152";"0";"180";"238";"255";"267";"295";"349";"361";"387";"447";"590";"605";"641";"647";"671";"681";"693";"859";"871";"888";"925";"977";"983"
"1615";"0";"0";"31";"6028435";"-77";"715";"DB631DA0-2D88-408A-AA48-65ECC2218741";"3";"Technologie";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"1";"38";"2";"1";"1";"1";"3";"3";"3";"2";"1";"2";"3";"3";"3";"3";"2";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"2";"2";"0";"1";"0";"2";"4";"4";"4";"3";"4";"4";"4";"4";"1";"2";"2";"2";"3";"4";"4";"4";"5";"2";"2";"2";"2";"2";"1";"-77";"4";"4";"4";"0";"0";"0";"1";"1";"0";"2";"2";"2";"4";"4";"3";"6";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"5";"4";"4";"3";"4";"nichts";"4";"keine";"4";"keine";"4";"keine";"4";"keine";"4";"keine";"5";"4";"2";"1";"2";"7";"-99";"4";"-99";"8";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"2";"2,4,7";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"0";"1";"0";"-77";"-77";"b644be2b3698edcede1a0f4708a8b355";"3";"0";"1634227485";"2021-10-14 16:04:45";"2021-10-14 16:16:40";"0000-00-00 00:00:00";"6";"14";"72";"100";"121";"0";"138";"145";"217";"239";"273";"291";"326";"345";"356";"396";"422";"448";"477";"501";"505";"540";"561";"610";"625";"644";"657";"673";"706";"715"
"1616";"0";"0";"31";"6028435";"-77";"1145";"9EC6AF8C-4C7D-4C10-A8E0-A33FE9DD76A6";"3";"dezentrale Datenbank";"1";"1";"2";"1";"1";"2";"2";"2";"2";"2";"1";"51";"2";"1";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"1";"0";"0";"0";"0";"0";"0";"1";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"2";"1";"1";"0";"1";"0";"0";"1";"7";"1";"1";"1";"1";"7";"1";"1";"2";"1";"2";"3";"5";"5";"4";"5";"2";"2";"2";"2";"2";"2";"1";"4";"1";"1";"0";"0";"0";"1";"1";"0";"2";"1";"1";"1";"1";"1";"6";"4";"7";"7";"7";"7";"7";"7";"7";"7";"7";"1";"1";"4";"5";"5";"5";"1";"1";"alles";"1";"nein";"1";"nein";"1";"nein";"1";"gar nicht";"1";"nein";"8";"5";"2";"1";"1";"7";"-99";"1";"-99";"23";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"2";"2,6,7";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"1";"0";"-77";"-77";"8999cc76e9b4a61346b520b2fa462d88";"3";"0";"1634227487";"2021-10-14 16:04:47";"2021-10-14 16:23:52";"0000-00-00 00:00:00";"5";"20";"264";"309";"337";"0";"363";"375";"415";"443";"486";"511";"546";"590";"619";"630";"662";"698";"735";"797";"801";"859";"884";"909";"970";"1007";"1036";"1071";"1138";"1145"
"1618";"0";"0";"31";"6028435";"-77";"523";"053EDCC5-0159-4DDD-B634-6F896A44BC3A";"3";"Nichts ";"2";"1";"2";"1";"1";"2";"1";"2";"1";"1";"2";"40";"2";"1";"1";"1";"3";"3";"1";"1";"1";"2";"2";"3";"3";"3";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"1";"2";"0";"1";"0";"2";"5";"5";"3";"3";"3";"4";"6";"2";"1";"1";"2";"2";"3";"5";"5";"6";"5";"2";"2";"2";"2";"2";"1";"-77";"2";"5";"1";"0";"0";"0";"1";"1";"0";"2";"2";"2";"2";"2";"1";"6";"2";"2";"2";"2";"2";"1";"2";"2";"2";"2";"5";"5";"7";"4";"4";"4";"2";"1";"-99";"1";"-99";"1";"-99";"1";"-99";"1";"-99";"1";"-99";"1";"1";"2";"1";"5";"7";"-99";"3";"-99";"16";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Mobile/15E148 Safari/604.1";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"1";"1,7,4";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"1";"0";"-77";"-77";"33056a20d31490c19494453b56c55acd";"3";"0";"1634230729";"2021-10-14 16:58:49";"2021-10-14 17:07:32";"0000-00-00 00:00:00";"4";"12";"64";"95";"106";"0";"120";"125";"158";"174";"207";"220";"240";"261";"268";"282";"308";"327";"346";"380";"383";"411";"428";"438";"449";"461";"470";"485";"518";"523"
"1622";"0";"0";"31";"6028435";"-77";"1572";"FD53CC9D-07C4-45D2-8659-A64E3A1365F7";"3";"protokolliert, nachvollziehbar";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"26";"1";"3";"3";"4";"1";"3";"3";"1";"1";"1";"3";"3";"1";"1";"1";"1";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"5";"0";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"5";"5";"0";"1";"0";"2";"4";"4";"3";"3";"4";"4";"3";"5";"5";"4";"4";"2";"5";"5";"5";"5";"5";"2";"2";"2";"1";"1";"1";"-77";"6";"4";"2";"0";"0";"0";"1";"1";"0";"2";"4";"4";"4";"4";"4";"6";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"4";"3";"5";"njkl";"4";"hjpijpo";"4";"ujhuoi";"4";"ghvgv";"4";"vhbuho";"5";"gvguihp";"6";"5";"1";"1";"4";"7";"-99";"4";"-99";"6";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"5";"5,7,1";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"0";"1";"0";"-77";"-77";"f40ac320ec1b4e2ab4337a5605a9cf46";"3";"0";"1634247388";"2021-10-14 21:36:28";"2021-10-14 22:02:40";"0000-00-00 00:00:00";"6";"19";"170";"191";"686";"0";"703";"730";"749";"766";"777";"802";"824";"841";"851";"881";"895";"1166";"1191";"1210";"1215";"1237";"1248";"1257";"1269";"1289";"1303";"1514";"1567";"1572"
"1623";"0";"0";"31";"6028435";"-77";"934";"E7642337-6F93-4AF0-966D-916713E1FABE";"3";"Kryptowährung";"1";"1";"2";"1";"1";"2";"1";"2";"1";"2";"2";"20";"2";"1";"1";"2";"1";"1";"1";"1";"1";"1";"1";"3";"3";"3";"1";"1";"0";"1";"0";"0";"0";"0";"0";"5";"2";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"2";"2";"1";"0";"0";"1";"2";"4";"5";"3";"3";"6";"5";"4";"5";"3";"3";"3";"2";"4";"3";"4";"6";"3";"2";"1";"1";"2";"2";"2";"1";"4";"5";"1";"0";"0";"0";"1";"1";"0";"2";"4";"3";"3";"4";"4";"6";"5";"3";"5";"3";"6";"6";"6";"4";"5";"5";"4";"5";"6";"6";"5";"6";"1";"6";"-99";"5";"Haus  Vermögen  ";"5";"-99";"6";"-99";"5";"-99";"3";"Sextoys";"8";"4";"2";"1";"2";"4";"-99";"3";"-99";"1";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"3";"3,7,1";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"0";"0";"0";"-77";"-77";"2ccf260bf02f523b2a074bff812d5cdd";"3";"0";"1634272119";"2021-10-15 04:28:39";"2021-10-15 04:44:13";"0000-00-00 00:00:00";"44";"56";"122";"153";"175";"0";"195";"204";"253";"274";"297";"316";"346";"375";"387";"472";"515";"546";"576";"611";"618";"656";"691";"720";"747";"770";"802";"823";"859";"934"
"1624";"0";"0";"31";"6028435";"-77";"1016";"A844A448-8EA8-43F7-AE81-63DB001F8D94";"3";"nichts";"2";"1";"2";"1";"2";"2";"2";"2";"2";"2";"2";"33";"2";"1";"1";"1";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"3";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"4";"1";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"1";"5";"1";"1";"0";"2";"4";"4";"4";"4";"4";"4";"6";"1";"1";"1";"1";"2";"4";"4";"4";"4";"4";"2";"2";"2";"2";"2";"2";"1";"1";"7";"1";"0";"0";"0";"1";"1";"0";"2";"1";"1";"1";"1";"1";"6";"1";"1";"1";"1";"1";"1";"1";"1";"1";"1";"7";"7";"7";"1";"1";"1";"7";"1";"keine Ahnung";"1";"nirgends";"1";"nirgends";"1";"keinen";"1";"nirgends";"1";"keine";"1";"1";"2";"1";"1";"7";"-99";"1";"-99";"24";"nichts";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:93.0) Gecko/20100101 Firefox/93.0";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"7";"7,5,1";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028410,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"0";"0";"-77";"-77";"134bc5e780e933817bdb01f2c2a2e354";"3";"0";"1634275461";"2021-10-15 05:24:21";"2021-10-15 05:41:17";"0000-00-00 00:00:00";"7";"401";"459";"486";"500";"0";"520";"528";"557";"578";"606";"619";"658";"698";"705";"735";"759";"780";"796";"828";"833";"866";"887";"904";"928";"946";"962";"974";"1010";"1016"
"1625";"0";"0";"31";"6028435";"-77";"1041";"691E0588-A2AF-4F13-AA08-A637FC77F1F4";"3";"Cryptowährungen";"1";"1";"1";"1";"1";"2";"1";"1";"1";"1";"1";"8";"1";"1";"3";"4";"3";"1";"3";"1";"1";"1";"3";"3";"2";"1";"1";"1";"0";"1";"1";"0";"0";"0";"0";"1";"1";"1";"2";"16";"4";"0";"0";"0";"1";"2";"1";"4";"5";"-77";"-77";"-77";"1";"3";"3";"4";"3";"5";"2";"3";"5";"2";"5";"4";"2";"5";"4";"7";"6";"7";"2";"1";"1";"2";"2";"2";"1";"4";"3";"2";"0";"0";"0";"1";"1";"0";"2";"5";"5";"5";"5";"5";"6";"5";"4";"4";"6";"7";"7";"4";"4";"5";"5";"2";"3";"3";"6";"6";"4";"1";"6";"-99";"6";"Aktien";"6";"-99";"7";"-99";"5";"-99";"4";"-99";"8";"6";"1";"1";"2";"3";"-99";"4";"-99";"5";"-99";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"3";"3,2,7";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028407,6028408,6028409,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"1";"1";"0";"-77";"-77";"c245094c3d4320aaa9f0ea7f2c5774e8";"3";"0";"1634277358";"2021-10-15 05:55:58";"2021-10-15 06:13:19";"0000-00-00 00:00:00";"5";"30";"137";"173";"209";"249";"277";"0";"333";"364";"391";"416";"460";"501";"520";"616";"663";"699";"738";"785";"789";"830";"852";"876";"897";"918";"946";"963";"1030";"1041"
"1627";"0";"0";"31";"6028435";"-77";"1983";"C6932ED8-308A-406D-934D-081E699D022C";"3";"Einfach";"1";"1";"2";"1";"1";"2";"2";"2";"1";"2";"2";"50";"2";"4";"4";"3";"3";"2";"3";"2";"1";"1";"1";"3";"2";"3";"2";"1";"0";"1";"0";"0";"0";"0";"0";"5";"2";"2";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"2";"1";"4";"4";"-77";"-77";"-77";"1";"7";"5";"3";"2";"5";"5";"4";"4";"2";"3";"5";"2";"5";"4";"6";"6";"6";"2";"1";"1";"2";"2";"2";"1";"3";"4";"1";"0";"0";"0";"1";"1";"0";"2";"7";"7";"6";"6";"6";"6";"7";"7";"7";"7";"7";"7";"7";"7";"7";"7";"1";"2";"3";"7";"7";"7";"1";"7";"Ist mir jetzt nicht so ganz klar ";"7";"Ist mir noch nicht bewusst ";"7";"Für Studien im gesundheitswesen";"7";"Z. B. Nutzung des Autos oder anderer Gegenstände ";"7";"Zur Unterstützung von Künstlern ";"7";"Da fällt mir momentan nichts ein";"10";"6";"1";"1";"3";"5";"-99";"4";"-99";"24";"Forschung ";"1";"-99";"2";"-99";"-99";"Mozilla/5.0 (Linux; Android 9; FIG-LX1 Build/HUAWEIFIG-L31; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/94.0.4606.85 Mobile Safari/537.36 EdgW/1.0";"https://www.panelservice.com/";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"7";"7,4,1";"0";"6028401,6028402,6028403,6028683,6028679,6028404,6028405,6028406,6028408,6028409,6028411,6028412,6028446,6028413,6028414,6028415,6028416,6028417,6028418,6028419,6028420,6028453,6028421,6028450,6028422,6028423,6028424,6028425,6028426,6028427,6028428,6028429,6028430,6028431,6028432,6028433,6028434,6028435";"0";"0";"0";"-77";"-77";"65580058ed4fcaf7bcdb5f004f12c7a9";"3";"0";"1634288617";"2021-10-15 09:03:37";"2021-10-15 09:36:40";"0000-00-00 00:00:00";"4";"26";"83";"117";"151";"0";"195";"0";"272";"309";"346";"367";"404";"436";"458";"1170";"1254";"1295";"1356";"1441";"1445";"1507";"1561";"1651";"1755";"1806";"1860";"1889";"1963";"1983"
