"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.90960459683594,0.680525978412964,2.80607156436449,0.00513392613597142
"2","Optimism",0.00388321605303578,0.066662730755084,0.0582516798974609,0.953562365261721
"3","Experience",-0.492873539324089,0.307294173092153,-1.60391436767102,0.109118465791313
"4","Innovativeness",0.147319644507684,0.0648100536657616,2.27309863478035,0.0232784620380772
"5","Discomfort",-0.12511170906052,0.0529516250886006,-2.36275485126619,0.0183725147561991
"6","Insecurity",-0.0223002349283358,0.0601253095025525,-0.37089596898273,0.710810930836104
"7","Social_Influence",0.102076057312975,0.0367905245755405,2.77452030082872,0.00565418699170008
"8","Disposition_to_privacy",-0.0336118904636635,0.0523516160395403,-0.642041125115927,0.52102614226406
"9","Trust",0.0190515544032562,0.0821971601376535,0.231778742372012,0.816767766291001
"10","Perceived_risk",-0.305294734103438,0.0595079141174753,-5.13032154850449,3.61370790681643e-07
"11","Perceived_benefit_for_society",0.0482672346146794,0.0873230956080044,0.552743054728067,0.580590192303456
"12","Potential_of_disruption",0.11935531097756,0.0660319231114362,1.8075395256342,0.0710449879070178
"13","Perceived_Usefulness",0.332605053089844,0.05733752413853,5.80082691199318,9.42374903304541e-09
"14","Optimism:Experience",-0.00473522349214158,0.0332028858271705,-0.142614817181544,0.886629471603861
"15","Experience:Innovativeness",-0.0293902647237864,0.0300366039055761,-0.978481615837079,0.328125115168016
"16","Experience:Discomfort",0.0521891532238063,0.0271362648341203,1.92322537913122,0.0547981618857198
"17","Experience:Insecurity",0.0148089293965202,0.0272197502991405,0.544050890760296,0.586554527133376
"18","Experience:Social_Influence",-0.008336806534614,0.0152948952186185,-0.545071176719512,0.585852961782416
"19","Experience:Disposition_to_privacy",0.0203709366642596,0.0229118365680583,0.88910099387925,0.374209867739947
"20","Experience:Trust",0.112886853971871,0.0387820815208059,2.91079925432339,0.00370282765443209
"21","Experience:Perceived_risk",0.035284449783062,0.0250112249371322,1.41074457055791,0.158699654073392
"22","Experience:Perceived_benefit_for_society",-0.00469883645292308,0.0368137323086853,-0.127638143655826,0.898466675874326
"23","Experience:Potential_of_disruption",0.0243569876580974,0.0308173075210786,0.79036715460744,0.429542167188802
"24","Experience:Perceived_Usefulness",-0.047849491965962,0.0241842560457923,-1.97853892529752,0.0482026039367663
