"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",0.983050815254349,0.382587631830554,2.56947881600557,0.0103585024482878
"2","Optimism",-0.0257217501197796,0.0341812128102125,-0.752511336054598,0.451956718580085
"3","Innovativeness",0.149732062487357,0.0324613118343772,4.61263128401323,4.60256247370811e-06
"4","Discomfort",-0.0516112105686884,0.027001238573447,-1.91143863376115,0.0562919573335836
"5","Insecurity",0.00271037165691815,0.0309036348515153,0.0877039762455405,0.930133088759205
"6","Social_Influence",0.114328811899016,0.0203495077612447,5.61825933287454,2.63192486452713e-08
"7","Disposition_to_privacy",-0.00231112586100999,0.0280320799381242,-0.0824457502301429,0.934312110413876
"8","Trust",0.214037399342007,0.0442480646244382,4.83721494168569,1.56906416890246e-06
"9","Perceived_risk",-0.266150034869695,0.0332573155574766,-8.00275158738304,4.08364455782757e-15
"10","Perceived_benefit_for_society",0.026229655409551,0.0478286424363983,0.548408946468232,0.583558429099205
"11","Potential_of_disruption",0.183941696711177,0.0358972842369182,5.12411177116302,3.71932814911105e-07
"12","Perceived_Usefulness",0.258908687862783,0.0331369003406774,7.81330435861432,1.68079027683269e-14
