"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",1.20934942507704,0.405065022988026,2.98556862835522,0.00291478404480835
"2","Optimism",-0.00698838299543935,0.0355680760854708,-0.196479083621113,0.844283945362751
"3","Possession_of_cryptocurrency",-2.29565243173519,1.17114390374841,-1.96017963666774,0.0503134865901522
"4","Innovativeness",0.121835590410077,0.0352852397266007,3.45287693534437,0.000583090783658318
"5","Discomfort",-0.0570551216356123,0.028334064480486,-2.01365821253449,0.0443720652742976
"6","Insecurity",-0.00822167174698675,0.0327071788955646,-0.251372084802511,0.801589504936003
"7","Social_Influence",0.102262401882047,0.0219947641003168,4.64939753005009,3.87937329088312e-06
"8","Disposition_to_privacy",0.00712181912083073,0.0301458348039879,0.236245543277793,0.813301209836955
"9","Trust",0.172899439030603,0.0462732453062771,3.73648828575135,0.000199557596531095
"10","Perceived_risk",-0.27512310645421,0.0351915863049383,-7.81786601121765,1.65035451160131e-14
"11","Perceived_benefit_for_society",0.0189427620253988,0.0505342619143241,0.374849880216207,0.707869159107921
"12","Potential_of_disruption",0.182573347015572,0.0380150477036001,4.80265994768914,1.8615654369181e-06
"13","Perceived_Usefulness",0.268391124337671,0.0347694990668871,7.71915418802435,3.4097851550089e-14
"14","Optimism:Possession_of_cryptocurrency",-0.0637820411351148,0.114447849650893,-0.557302223935816,0.577473229464167
"15","Possession_of_cryptocurrency:Innovativeness",-0.0220206506528281,0.091494478109126,-0.240677373191461,0.80986541072886
"16","Possession_of_cryptocurrency:Discomfort",0.0681276057994159,0.0939691817150496,0.724999457864864,0.46865944403535
"17","Possession_of_cryptocurrency:Insecurity",0.0156278314613612,0.0934906560242346,0.167159287633088,0.867285980333978
"18","Possession_of_cryptocurrency:Social_Influence",-0.0126499073645472,0.0571132703029489,-0.22148805868492,0.82476764433455
"19","Possession_of_cryptocurrency:Disposition_to_privacy",0.0218385984987737,0.079897197660304,0.27333372306278,0.784665605543895
"20","Possession_of_cryptocurrency:Trust",0.325516829937854,0.14086640218588,2.3108195061894,0.0210903929769356
"21","Possession_of_cryptocurrency:Perceived_risk",0.320682817107321,0.112138800066227,2.85969545704014,0.00434826638907872
"22","Possession_of_cryptocurrency:Perceived_benefit_for_society",0.223604130006715,0.145199786442703,1.53997561211945,0.123952552206933
"23","Possession_of_cryptocurrency:Potential_of_disruption",0.00697339006739314,0.108694723904408,0.0641557365151035,0.94886187696685
"24","Possession_of_cryptocurrency:Perceived_Usefulness",-0.17911976298819,0.105298200676317,-1.70107145077244,0.0893091556382358
