"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.0346933096791931,0.591270766927666,-0.058675841289203,0.953224391535725
"2","Optimism",0.140957612849208,0.0523542435023429,2.69238180937329,0.0072369740275673
"3","Innovativeness",0.0216946232917153,0.0501473552312397,0.432617496808694,0.665404788120434
"4","Discomfort",0.0231487681837827,0.0417176315853418,0.554891716142303,0.579117868743818
"5","Insecurity",0.0303489817360429,0.0477286250776282,0.635865409629585,0.525039013302798
"6","Social_Influence",0.0266019399236564,0.0313679396599536,0.84806143508425,0.396647663964892
"7","Disposition_to_privacy",0.0591158433769168,0.043285615462443,1.36571567125363,0.172397302825024
"8","Trust",0.222521072893769,0.0672171051058511,3.31048283830955,0.000971447054002971
"9","Perceived_risk",-0.0399283345526146,0.0513943131524593,-0.776901803010163,0.437437528364581
"10","Perceived_benefit_for_society",0.277389028964692,0.0726021567196269,3.82067202267703,0.000142994954722328
"11","Potential_of_disruption",0.248785821116244,0.0538315699957753,4.62155982327412,4.41280123663828e-06
