"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.29511239168509,0.581684583664884,-0.507340919757138,0.612050079770803
"2","Optimism",0.126506462495784,0.0515054320933067,2.45617709344922,0.0142457605056898
"3","Innovativeness",0.0909188988944397,0.0493343237670116,1.84291365427075,0.065697192985774
"4","Discomfort",0.0685977700925189,0.0410412699520003,1.67143390476823,0.0950120400262658
"5","Insecurity",0.0258626318927866,0.046954808118518,0.550798372501216,0.581919762226659
"6","Social_Influence",0.079727136283759,0.0308593760120015,2.58356281257121,0.00994806372051517
"7","Disposition_to_privacy",0.00052764108387545,0.0425838323443271,0.0123906434632049,0.990116920272186
"8","Trust",0.20619214450955,0.0661273243759724,3.11810808096858,0.00188279870265244
"9","Perceived_risk",-0.0636359570877197,0.0505610649485877,-1.25859605909067,0.208529317630222
"10","Perceived_benefit_for_society",0.191337742267561,0.0714250689647156,2.67885974827807,0.00753315745251837
"11","Potential_of_disruption",0.265765849555868,0.0529588069163757,5.01835039402463,6.37511530539432e-07
