"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.0952134454927538,0.558596277466533,-0.170451271040664,0.86469669353204
"2","Optimism",0.205395311805363,0.0494610712481966,4.15266605882201,3.62530666451689e-05
"3","Innovativeness",-0.0187888319007899,0.0473761388585431,-0.396588501162791,0.691772630491681
"4","Discomfort",0.0052265721228295,0.0394122541004011,0.132612869832693,0.89453161847909
"5","Insecurity",0.0361827584502245,0.0450910712793967,0.802437321260924,0.422529177636584
"6","Social_Influence",0.00140915213050364,0.0296345013248194,0.0475510660718778,0.962085442961478
"7","Disposition_to_privacy",-0.0808682398319156,0.040893588889583,-1.9775285571112,0.0483115674093672
"8","Trust",0.279255183792663,0.063502589328585,4.39754011206846,1.23683010673555e-05
"9","Perceived_risk",0.0276741916138492,0.0485541880568317,0.569965078634557,0.568855250918143
"10","Perceived_benefit_for_society",0.343936141445907,0.0685900550949896,5.01437330775713,6.50442963905223e-07
"11","Potential_of_disruption",0.264899132753982,0.050856758513647,5.20873017659783,2.39857562481723e-07
