"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-0.504375873286395,0.535230795308446,-0.942352117455668,0.346285933091711
"2","Optimism",0.163159901562264,0.0473921677764243,3.44276088681955,0.000604552225939923
"3","Innovativeness",0.0179665510955018,0.0453944458686813,0.395787430635813,0.692363318377035
"4","Discomfort",0.0246352847725509,0.0377636818539667,0.652353890381143,0.514353089232514
"5","Insecurity",0.0442171794843364,0.0432049602114064,1.02342831165628,0.30640284975428
"6","Social_Influence",0.0605362563559914,0.0283949219722514,2.13193952126897,0.0333041739360421
"7","Disposition_to_privacy",-0.0198182981214703,0.0391830540003903,-0.505787479487253,0.613139822938575
"8","Trust",0.262716190361241,0.0608463442410258,4.3176988467962,1.7666150361908e-05
"9","Perceived_risk",0.0440685072527661,0.0465232185346435,0.947236855935719,0.34379312805011
"10","Perceived_benefit_for_society",0.345823656040995,0.0657210067801444,5.26199571467118,1.81427917119865e-07
"11","Potential_of_disruption",0.232214669746889,0.0487294749430186,4.76538419546747,2.22405614525879e-06
